Block,TRT,Cored,AUDPC,Response,Month
2,1,Oui,5527.5375,43,5
3,1,Oui,4484.8375,36,5
4,1,Oui,4191.3125,34,5
1,2,Oui,4409.375,33,5
2,2,Oui,6165.1625,44,5
3,2,Oui,6235.9375,43,5
4,2,Oui,4532.6875,36,5
1,3,Oui,4992.6,37,5
2,3,Oui,5366.1,40,5
3,3,Oui,5261.275,40,5
4,3,Oui,4914.4375,34,5
1,4,Oui,4188.4125,36,5
2,4,Oui,5006.65,39,5
3,4,Oui,6205.5125,42,5
4,4,Oui,4469.6625,35,5
1,5,Oui,4030.475,31,5
2,5,Oui,5533.225,38,5
3,5,Oui,6065.9375,45,5
4,5,Oui,4290.5375,32,5
1,6,Oui,4371.5875,36,5
2,6,Oui,5275.1375,39,5
3,6,Oui,5370.0875,41,5
4,6,Oui,4301.325,34,5
1,7,Oui,5184.0875,35,5
2,7,Oui,5215.9125,41,5
3,7,Oui,5685.025,38,5
4,7,Oui,5018.0625,40,5
1,8,Oui,4076.6375,32,5
2,8,Oui,5360.7625,40,5
3,8,Oui,5549.175,43,5
4,8,Oui,4998.375,40,5
1,1,Non,4922.6875,25,6
2,1,Non,3915.75,15,6
3,1,Non,4700.25,21,6
4,1,Non,4798.075,20,6
1,2,Non,4266.0125,19,6
2,2,Non,5123.7792,28,6
3,2,Non,4961.75,26,6
4,2,Non,4710.2,19,6
1,3,Non,5091.575,22,6
2,3,Non,4837.6125,24,6
3,3,Non,4906.0875,25,6
4,3,Non,4365.4,15,6
1,4,Non,4598.25,23,6
2,4,Non,4794,25,6
3,4,Non,5415.35,27,6
4,4,Non,4580.5,19,6
1,5,Non,5043.875,25,6
2,5,Non,5105.875,26,6
3,5,Non,5545.1875,28,6
4,5,Non,5571.2375,27,6
1,6,Non,4295.4375,20,6
2,6,Non,4250.3375,20,6
3,6,Non,4894.9375,27,6
4,6,Non,4590.1375,22,6
1,7,Non,4463.1875,18,6
2,7,Non,4997.5,28,6
3,7,Non,5499.85,29,6
4,7,Non,5473,26,6
1,8,Non,5621.05,25,6
2,8,Non,5598.8875,28,6
3,8,Non,5159.6125,23,6
4,8,Non,5754.025,29,6
1,1,Oui,4151.475,16,6
2,1,Oui,5527.5375,27,6
3,1,Oui,4484.8375,20,6
4,1,Oui,4191.3125,17,6
1,2,Oui,4409.375,20,6
2,2,Oui,6165.1625,29,6
3,2,Oui,6235.9375,36,6
4,2,Oui,4532.6875,17,6
1,3,Oui,4992.6,20,6
2,3,Oui,5366.1,24,6
3,3,Oui,5261.275,26,6
4,3,Oui,4914.4375,21,6
1,4,Oui,4188.4125,17,6
2,4,Oui,5006.65,25,6
3,4,Oui,6205.5125,35,6
4,4,Oui,4469.6625,19,6
1,5,Oui,4030.475,17,6
2,5,Oui,5533.225,25,6
3,5,Oui,6065.9375,33,6
4,5,Oui,4290.5375,16,6
1,6,Oui,4371.5875,18,6
2,6,Oui,5275.1375,23,6
3,6,Oui,5370.0875,28,6
4,6,Oui,4301.325,19,6
1,7,Oui,5184.0875,24,6
2,7,Oui,5215.9125,24,6
3,7,Oui,5685.025,31,6
4,7,Oui,5018.0625,23,6
1,8,Oui,4076.6375,18,6
2,8,Oui,5360.7625,24,6
3,8,Oui,5549.175,27,6
4,8,Oui,4998.375,21,6
